owner/repo,ageRepoDays,stargazersCount,watchersCount,language,forksCount,openIssuesCount,subscribersCount,has_wiki,acceptanceRepo,followers,followers_D,followers_boolean,following,ageUser,totalPullDeveloper,requester_experience,mergedPullUser,closedPullUser,rejectUser,acceptanceDeveloper,rate_acceptance_developer,first_Pull,watchRepo,location,idPull,numberPull,login,state,title,createdDate,mesAno,closedDate,mergedDate,lifetimeMinutes,life_time,closedBy,mergedBy,status,commitHeadSha,commitBaseSha,assignee,comments,comments_D,commitsPull,commitsPull_D,commitsbyFilesPull,authorMoreCommits,participants,additionsLines,deletionsLines,totalLines,total_lines_D,changedFiles,changedFiles_D,dirFinal,files,typeDeveloper,requesterFollowsCoreTeam,coreTeamFollowsRequester,requester_experience_project
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,8,210,more than 10,has followers,117,2374,0,no experience,0,0,0,0,First_Pull,True,false,San Francisco  CA,5540,13,jfirebaugh,closed,#7017 - Accessing the ´type´ property on VML elements fails on IE.,2010-09-16T19:06:18Z,92010,12/04/2011 20:49,,299623,Very Slow,jeresig,,closed,7eb74ea9286d17ccd6684550efbafec57b06d8bf,a64dc0405064d68c7b7cd0f0fc8ea60086cbcd21,,0,no comments,1,1 commit,4,jeresig,jfirebaugh|jeresig|csnover|niyazpk|escobera|robertvogel,4,2,6,some lines,1,1 file,src,src/event.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,26,5,4 to 6 followers,has followers,0,1895,0,no experience,0,0,0,0,First_Pull,True,true,,16584,55,rjgotten,closed,#6180 - jQuery.clean should not touch script tags that are not of type text/javascript,2010-10-17T15:47:18Z,102010,12/04/2011 20:40,12/04/2011 20:40,255233,Very Slow,jeresig,jeresig,merged,df7dfc2404807dce2f97c21782eb3a14ced86d6b,a64dc0405064d68c7b7cd0f0fc8ea60086cbcd21,,1,has comments,1,1 commit,0,jeresig,rjgotten|jitter|jeresig,18,16,34,many lines,1,1 file,src,src/manipulation.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,27,0,no followers,no followers,0,1893,0,no experience,0,0,0,0,First_Pull,True,true,,17265,60,jclain,closed,#7049 - Making jQuery.noConflict() callable anytime,2010-10-19T05:57:05Z,102010,12/04/2011 20:26,12/04/2011 20:26,252929,Very Slow,jeresig,jeresig,merged,596f9a1f21be8b753cb95694da96189edf501ec8,1ac7b459a4defb8238309ae47afb3637719cf8be,,0,no comments,2,some commits,0,,jclain|csnover|jeresig,0,0,0,1 line,0,1 file,root,,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,32,1572,more than 10,has followers,43,2490,0,no experience,0,0,0,0,First_Pull,True,true,Austin  TX,20976,77,rmurphey,closed,#7323 - Allow removing multiple data keys at once with $.fn.removeData,2010-10-27T19:58:26Z,102010,19/09/2011 20:55,,470996,Very Slow,timmywil,,closed,066a4f96e3604998b1cfc20f9d153f622e13cbd8,f035c4455fa52f6e2962e40c280ca8b8cecdce1f,,0,no comments,1,1 commit,6,dmethvin,rmurphey|pomeh|csnover|dmethvin|jeresig|timmywil|rkatic,14,3,17,some lines,2,some files,src|test/unit,src/data.js|test/unit/data.js,external,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,39,41,more than 10,has followers,69,2551,0,no experience,0,0,0,0,First_Pull,True,true,Buffalo Grove  IL,35886,114,leeoniya,closed,#5479 - Allow passing multiple attributes to removeAttr,2010-11-30T21:26:24Z,112010,07/09/2011 21:13,,404686,Very Slow,dmethvin,,closed,8412049da27b5b3739ecfb1d9b09b5fd949994a6,f035c4455fa52f6e2962e40c280ca8b8cecdce1f,,0,no comments,6,many commits,1,timmywil,leeoniya|dmethvin|rwaldron,19,10,29,many lines,2,some files,src|root,src/attributes.js|README.md,core,true,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,38,333,more than 10,has followers,139,2709,1,little experience,0,1,100,0,First_Pull,True,false,Toronto  Canada,43555,133,gf3,closed,#7783 - Fixing $.proxy to work like (and use) Function.prototype.bind,2010-12-16T21:20:31Z,122010,10/04/2011 20:51,10/04/2011 20:51,165631,Very Slow,jeresig,jeresig,merged,574ae3b1be555dbd5242532739cd8e0a34e0569c,328a86f9a0d3f0907cc950f7543e34cb3efbda3f,,0,no comments,7,many commits,3,jeresig,gf3|cowboy|wycats|jeresig,83,39,122,many lines,4,some files,src|test/unit|root|root,src/core.js|test/unit/core.js|MIT-LICENSE.txt|Makefile,core,false,false,some contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,36,1379,more than 10,has followers,48,2634,27,very experienced,9,18,66,33,26% to 50%,False,true,Brooklyn  NY,49102,159,rwaldron,closed,Ticket #7883  .delegate and .live support accepting false as the fn arg  like bind,2011-01-01T19:22:36Z,12011,06/04/2011 02:00,06/04/2011 02:00,135817,Very Slow,dmethvin,dmethvin,merged,612a908514b6ad6ec35754b0193887b01ce2c9f2,eed3803c98bf5c074e40aad12f2e91435bf81154,,0,no comments,1,1 commit,15,csnover,rwaldron|dmethvin,45,1,46,many lines,2,some files,src|test/unit,src/event.js|test/unit/event.js,external,false,false,many contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,36,1379,more than 10,has followers,48,2634,28,very experienced,10,18,64,35,26% to 50%,False,true,Brooklyn  NY,49145,160,rwaldron,closed,Ticket #4321  jQuery( # ) returns empty jQuery object,2011-01-01T22:51:26Z,12011,06/04/2011 02:09,06/04/2011 02:09,135617,Very Slow,dmethvin,dmethvin,merged,5f52e61d74678786e2f40d4edbeb2396661bb9bc,eed3803c98bf5c074e40aad12f2e91435bf81154,,0,no comments,2,some commits,37,jaubourg,rwaldron|dmethvin,3,2,5,some lines,2,some files,src|test/unit,src/core.js|test/unit/core.js,external,false,false,many contributions
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,35,38,more than 10,has followers,25,2441,0,no experience,0,0,0,0,First_Pull,True,true,San Francisco,52643,171,xavi-,closed,Bug 7931: scrollTop and scrollLeft setters return null when called on an empty jquery object,2011-01-10T00:14:57Z,12011,12/04/2011 20:14,12/04/2011 20:14,133739,Very Slow,jeresig,jeresig,merged,135a384cf3e4cc3671de4cfcced20f294a5667a8,3d0aa196c5420e7f68b32cee38f0cc740d4959c6,,0,no comments,7,many commits,4,csnover,xavi-|rwaldron|jeresig,30,23,53,many lines,2,some files,src|root,src/offset.js|Makefile,core,false,false,no contribution
jquery/jquery,2457,35652,35652,JavaScript,8917,150,3014,true,35,0,no followers,no followers,0,2127,0,no experience,0,0,0,0,First_Pull,True,true,,53208,176,yangjh,closed,shortern constructor reference resolving and prototype wiring,2011-01-11T04:22:14Z,12011,06/04/2011 03:02,,122380,Very Slow,dmethvin,,closed,765496e39a0821442bfe0e9a3fb19ea3898d749b,d9cb69873c0be7cb2f65d24deeb6a01fada0661b,,0,no comments,2,some commits,8,csnover,yangjh|davidmurdoch|dmethvin,7,8,15,some lines,1,1 file,src,src/core.js,external,false,false,no contribution
