owner/repo,ageRepoDays,stargazersCount,watchersCount,language,forksCount,openIssuesCount,subscribersCount,has_wiki,acceptanceRepo,followers,followers_D,followers_Boolean,following,ageUser,totalPullDeveloper,requester_experience,mergedPullUser,closedPullUser,rejectUser,acceptanceDeveloper,rate_acceptance_developer,first_Pull,watchRepo,location,idPull,numberPull,login,state,title,createdDate,mesAno,closedDate,mergedDate,lifetimeMinutes,life_time,closedBy,mergedBy,status,commitHeadSha,commitBaseSha,assignee,comments,comments_D,commitsPull,commitsPull_D,commitsbyFilesPull,authorMoreCommits,participants,additionsLines,deletionsLines,totalLines,total_lines_D,changedFiles,changedFiles_D,dirFinal,files,typeDeveloper,requesterFollowsCoreTeam,coreTeamFollowsRequester,requester_experience_project
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,0,7,7 to 10 followers,has followers,1,2519,3,little experience,0,3,100,0,First_Pull,True,true,Brazil,75995,7,johnholiver,closed,Lifebloom + Scripts + Knockback,2011-02-18T04:59:44Z,22011,09/05/2011 17:00,,115981,Very Slow,Shauren,,closed,f07aa551cb2c65569f7f3aabeb7747c7d0e1ec4b,99959e8cd786a961fe392a01ade53618c0c44f0a,,0,no comments,2,some commits,2,Shocker,johnholiver|SignFinder|Shauren,10,4,14,some lines,3,some files,src/server/game/Spells|sql/base|sql/updates/world,src/server/game/Spells/SpellEffects.cpp|sql/base/world_database.sql|sql/updates/world/2011_02_18_0_world_spell_bonus_data.sql,core,false,false,some contributions
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,0,20,more than 10,has followers,1,2010,0,no experience,0,0,0,0,First_Pull,True,true,Palma  Spain,88066,11,Spp-,closed,Change the status of CMSG_SET_SAVED_INSTANCE_EXTEND to STATUS_UNHANDLED,2011-03-08T07:23:27Z,32011,19/03/2011 10:06,,16003,Very Slow,Shauren,,closed,6171a705ec74cb887113945d5854ddfd13a8f205,2fe06ac566b335e052c896e62af851d5383e403f,,0,no comments,1,1 commit,1,,Spp-|Shauren,1,1,2,some lines,1,1 file,src/server/game/Server/Protocol,src/server/game/Server/Protocol/Opcodes.cpp,external,false,false,no contribution
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,0,0,no followers,no followers,0,1695,0,no experience,0,0,0,0,First_Pull,True,true,,90219,12,HollandNovak,closed,Holland novak,2011-03-10T16:38:38Z,32011,19/03/2011 11:51,,12672,Slow,Shauren,,closed,26b73bb6f450590e4191e73df8abb6295659bb3a,4663aee6eefb0a7a7ff426739be73575ceb1e159,,0,no comments,1,1 commit,1,Machiavell1,HollandNovak|Shauren,1,0,1,1 line,1,1 file,src/server/game/Server/Protocol/Handlers,src/server/game/Server/Protocol/Handlers/VehicleHandler.cpp,external,false,false,no contribution
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,0,0,no followers,no followers,0,1713,1,little experience,0,1,100,0,First_Pull,True,true,,90367,13,GWRde,closed,Patch fixes bonusheal of spell  Lifeblood  (Herbalism bonus spell),2011-03-10T19:10:08Z,32011,19/05/2011 09:33,,100223,Very Slow,Shocker,,closed,a32f7d328de1578bdbe1b3a96649ec73ef366229,d7fd0726a25cb2463819a8c91f5b915f026f8dea,,0,no comments,2,some commits,7,Shauren,GWRde|Warpten|Shauren|Shocker,12,0,12,some lines,2,some files,src/server/game/Spells/Auras|src/server/game/Spells,src/server/game/Spells/Auras/SpellAuraEffects.cpp|src/server/game/Spells/SpellEffects.cpp,external,false,false,some contributions
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,7,7,7 to 10 followers,has followers,0,1808,1,little experience,1,0,0,100,more than 75%,False,false,,96182,15,Supabad,closed,add proper boundary check for Flame Leviathan,2011-03-18T16:34:52Z,32011,19/03/2011 09:59,19/03/2011 09:59,1044,Very Fast,Shauren,Shauren,merged,6fd4debc7a18fdee97af0739d9d6f9b58b2dd004,d3425921f808001c5854ff92aa16585cd639b854,,0,no comments,1,1 commit,6,Shauren,Supabad|Shauren,41,37,78,many lines,3,some files,src/server/scripts/Northrend/Ulduar/ulduar|src/server/scripts/Northrend/Ulduar/ulduar|src/server/scripts/Northrend/Ulduar/ulduar,src/server/scripts/Northrend/Ulduar/ulduar/boss_flame_leviathan.cpp|src/server/scripts/Northrend/Ulduar/ulduar/instance_ulduar.cpp|src/server/scripts/Northrend/Ulduar/ulduar/ulduar.h,external,false,false,some contributions
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,12,5,4 to 6 followers,has followers,0,1687,1,little experience,0,1,100,0,First_Pull,True,false,Ukraine,96234,17,Ramusik,closed,Glyph of Starfire / Arcane Concentration / Spell Deflection,2011-03-18T17:41:25Z,32011,19/03/2011 12:24,,1122,Very Fast,Shauren,,closed,8621d171325922b39e488b4abeaa8f63cf0099c0,a69f3c7c64172faf0de8c7db82b0d184a6b8704a,,0,no comments,3,some commits,4,Azazel,Ramusik|Shauren,15,2,17,some lines,4,some files,src/server/scripts/Spells|sql/base|sql/updates/world|src/server/scripts/Spells,src/server/scripts/Spells/spell_dk.cpp|sql/base/world_database.sql|sql/updates/world/2011_03_18_2_world_spell_proc_event.sql|src/server/scripts/Spells/spell_druid.cpp,core,false,false,some contributions
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,11,5,4 to 6 followers,has followers,0,1687,2,little experience,0,2,100,0,First_Pull,True,false,Ukraine,97079,19,Ramusik,closed,Druid T10 Balance 4P Bonus,2011-03-20T06:06:52Z,32011,20/03/2011 10:05,,238,Very Fast,Shauren,,closed,b56c8bb0cfbf4bf26d54cede3112e27814a6159a,606c8909605d67ae5dc9290c612188140099d72e,,0,no comments,5,many commits,19,Shauren,Ramusik|Shauren,15,0,15,some lines,4,some files,src/server/game/Entities/Unit|sql/base|sql/base|sql/updates/auth_char,src/server/game/Entities/Unit/Unit.cpp|sql/base/characters_database.sql|sql/base/world_database.sql|sql/updates/auth_char/2011_03_18_1_characters_game_event_misc.sql,external,false,false,some contributions
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,10,5,4 to 6 followers,has followers,0,1687,3,little experience,0,3,100,0,First_Pull,True,false,Ukraine,97122,20,Ramusik,closed,Druid T10 Balance 4P Bonus,2011-03-20T11:02:57Z,32011,20/03/2011 11:50,20/03/2011 11:50,47,Very Fast,Shauren,Shauren,merged,d0eade83e2066af94ab5f02d8dcc78d24e6a2ec2,24cb1c9555ce7bf50abce49cbdb9cbb37c7e2347,,0,no comments,1,1 commit,10,Shauren,Ramusik|Shauren,2,0,2,some lines,1,1 file,src/server/game/Entities/Unit,src/server/game/Entities/Unit/Unit.cpp,external,false,false,some contributions
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,12,7,7 to 10 followers,has followers,0,1808,6,Regular,2,4,66,33,26% to 50%,False,false,,101734,26,Supabad,closed,Scripts/Ulduar: Some cleanup in Flame Leviathan script,2011-03-25T23:58:19Z,32011,26/03/2011 09:02,,544,Very Fast,Shauren,,closed,b4d1f0bf96913c764021e531335faa78e8d12e26,30d6b0fcd69fabc8dbdf496b6cadda688d0372fc,,0,no comments,1,1 commit,15,Shauren,Supabad|Shauren,423,252,675,many lines,6,many files,sql/scripts|sql/updates/world|src/server/scripts/Northrend/Ulduar/ulduar|src/server/scripts/Northrend/Ulduar/ulduar|src/server/scripts/Northrend/Ulduar/ulduar|src/server/scripts/Northrend/Ulduar/ulduar,sql/scripts/world_scripts_full.sql|sql/updates/world/2011_03_25_4_world_achievement_criteria_data.sql|src/server/scripts/Northrend/Ulduar/ulduar/boss_flame_leviathan.cpp|src/server/scripts/Northrend/Ulduar/ulduar/boss_razorscale.cpp|src/server/scripts/Northrend/Ulduar/ulduar/instance_ulduar.cpp|src/server/scripts/Northrend/Ulduar/ulduar/ulduar.h,external,false,false,some contributions
TrinityCore/TrinityCore,1766,2971,2971,C++,3141,1183,569,true,20,7,7 to 10 followers,has followers,0,1808,10,Regular,5,5,50,50,26% to 50%,False,false,,109810,30,Supabad,closed,Multiple commits,2011-04-05T12:54:00Z,42011,06/04/2011 09:38,,1244,Fast,leak,,closed,ff37c96aa0f700c831fcd7b409b8b65a86094970,379308140b7e958c10fef72fcba872648a354c85,,0,no comments,5,many commits,1,DDuarte,Supabad|leak,343,16,359,many lines,16,many files,sql/scripts|sql/scripts|sql/updates/world|sql/updates/world|src/server/scripts/Kalimdor|src/server/scripts/Outland|sql/updates/world|sql/updates/world|src/server/scripts/Outland|sql/updates/world|src/server/game/Scripting|src/server/scripts/Northrend/Ulduar/ulduar|src/server/scripts/Northrend/Ulduar/ulduar|sql/updates/world|src/server/game/Spells|src/server/scripts/Spells,sql/scripts/world_script_texts.sql|sql/scripts/world_scripts_full.sql|sql/updates/world/2011_05_03_00_world_script_text.sql|sql/updates/world/2011_05_03_00_world_scriptname.sql|src/server/scripts/Kalimdor/bloodmyst_isle.cpp|src/server/scripts/Outland/blades_edge_mountains.cpp|sql/updates/world/2011_04_03_12_world_script_text.sql|sql/updates/world/2011_04_03_12_world_scriptname.sql|src/server/scripts/Outland/nagrand.cpp|sql/updates/world/2011_04_03_11_world_spell_script_names.sql|src/server/game/Scripting/ScriptLoader.cpp|src/server/scripts/Northrend/Ulduar/ulduar/boss_mimiron.cpp|src/server/scripts/Northrend/Ulduar/ulduar/ulduar.h|sql/updates/world/2011_04_03_10_world_spell_script_names.sql|src/server/game/Spells/SpellEffects.cpp|src/server/scripts/Spells/spell_quest.cpp,external,false,false,many contributions
